Monthly mean Maxs,,,,,,,Monthly mean Mins,,,,
month,Adelaide,Archerfield,Bankstown,Melbourne,,,month,Adelaide,Archerfield,Bankstown,Melbourne
January,30.46,31.25,29.73,26.93,,,January,17.46,21.14,19.35,16.59
February,29.13,30.98,28.77,25.83,,,February,16.85,20.63,18.72,15.81
March,27.09,29.7,27.14,24.38,,,March,15.55,19.87,17.6,14.94
April,23.43,27.29,24.83,20.87,,,April,13.22,15.78,13.26,12.2
May,19.1,24.4,21.16,17.32,,,May,10.14,12.37,9.42,9.35
June,16.23,22.29,18.25,14.75,,,June,8.53,9.2,6.53,7.53
July,15.65,22.16,18.49,14.48,,,July,8.14,8.51,5.86,7.4
August,16.72,24.21,19.91,15.72,,,August,8.92,9.03,6.94,7.87
September,19.45,26.59,23.11,17.98,,,September,9.79,12.08,9.09,9.38
October,22.61,28.06,25.07,20.17,,,October,11.87,15.96,12.92,10.8
November,24.78,29.2,26.38,22.32,,,November,13.55,17.69,15.21,12.84
December,27.86,30.68,28.93,24.49,,,December,15.31,19.97,17.32,14.37
,,,,,,,,,,,
Record period:,2017-2026,2017-2026,2017-2026,2017-2026,,,Record period:,2017-2026,2017-2026,2017-2026,2017-2026
