Monthly mean Maxs,,,,,,Monthly mean Mins,,,,
month,Adelaide,Archerfield,Bankstown,Melbourne,,month,Adelaide,Archerfield,Bankstown,Melbourne
January,29.9,29.64,29.84,26.3,,January,17.45,19.62,18.18,16.57
February,29.39,31.17,28.55,26.82,,February,17.26,21.85,19.13,15.94
March,27.78,30.55,27.62,24.94,,March,15.75,20.22,18.08,15.32
April,25.21,28.32,25.17,23.31,,April,14.13,17.4,13.94,12.69
May,20.36,25.04,22.15,18.99,,May,11.23,13.8,11.2,9.99
June,16.85,22.56,18.84,15.3,,June,8.85,10.21,7.87,7.88
July,15.24,20.91,17.28,14.29,,July,7.44,9.15,6.38,7.75
August,15.79,23.04,19.49,15.1,,August,7.9,7.68,5.41,7.38
September,18.6,24.92,21.17,17.34,,September,9.29,10.9,7.37,9.15
October,21.49,26.94,24.65,20.03,,October,10.8,13.88,10.7,9.69
November,24.31,27.98,25.08,20.87,,November,12.3,16.85,14.17,12.3
December,25.58,29.84,28.69,24.62,,December,14.59,18.76,16.03,14.3
Record period:,1996-2025,,,,,Record period:,1996-2025,,,
